ip,finger,hash,name,race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,castingStat,choices,country,countryCode,processedAlignment,good,lawful,processedRace,processedSpells,processedWeapons,levelGroup,alias
505d64e,c81832e,3fcdfc1e5eaa8384e41ed79a0be64a76,2210444f,Forest Gnome,Entertainer,3/2/2019 0:46,Bard 10,Bard,College of Whispers,10,Actor,63,13,8,16,13,17,11,18,CG,Acrobatics|Religion|Deception|Performance|Persuasion,Rapier|Dagger,Mage Hand*0|Vicious Mockery*0|Prestidigitation*0|True Strike*0|Charm Person*1|Disguise Self*1|Sleep*1|Tasha's Hideous Laughter*1|Calm Emotions*2|Crown Of Madness*2|Enhance Abilities*2|Dispell Magic*3|Fear*3|Major Image*3|Charm Monster*4|Compulsion*4|Confusion*4|Geas*5|Modify Memory*5,Cha,expertise/Performance*Deception*Religion*Persuasion,NA,NA,CG,NA,NA,Gnome,Mage Hand*0|Vicious Mockery*0|Prestidigitation*0|True Strike*0|Charm Person*1|Disguise Self*1|Sleep*1|Tasha's Hideous Laughter*1|Calm Emotions*2|Crown of Madness*2|Enhance Ability*2|Dispel Magic*3|Fear*3|Major Image*3|Charm Monster*4|Compulsion*4|Confusion*4|Geas*5|Modify Memory*5,Rapier|Dagger,11-Aug,dreamy_boyd
987c356,,9c04481ef70fba5d60e0d0018e088afb,eacde70e,Deep Gnome,Outlander,3/1/2019 21:42,Druid 10,Druid,Circle of the Moon,10,,65,16,12,14,14,12,19,8,,Athletics|Nature|Perception|Survival,Scimitar|Quarterstaff,Shillelagh*0|Thorn Whip*0|Poison Spray*0|Fog Cloud*1|Thunderwave*1|Jump*1|Earth Tremor*1|Find Trap*2|Locate Objects*2|Call Lightning*3|Dispel Magic*3|Erupting Earth*3|Ice Storm*4,Wis,,NA,NA,,NA,NA,Gnome,Shillelagh*0|Thorn Whip*0|Poison Spray*0|Fog Cloud*1|Thunderwave*1|Jump*1|Earth Tremor*1|Find Traps*2|Locate Object*2|Call Lightning*3|Dispel Magic*3|Erupting Earth*3|Ice Storm*4,Scimitar|Quarterstaff,11-Aug,eager_aryabhata
,32a832d,393ef40d1d0e3d79326cde8c084dfecc,736a66c3,Tiefling,Knight,2/27/2019 11:55,Paladin 10,Paladin,Oath of Conquest,10,,84,18,18,14,15,10,12,15,,Religion|Insight|Intimidation|Persuasion,Greatsword|Mace,Armor of Frost*1|Command*1|Bless*1|Bane*1|Hold Person*2|Spiritual Weapon*2|Misty Step*2|Bestow Curse*3|Fear*3|Haste*3|Aura Of Vitality*3,Cha,fighting style/Protection,Canada,CA,,NA,NA,Tiefling,*|Command*1|Bless*1|Bane*1|Hold Person*2|Spiritual Weapon*2|Misty Step*2|Bestow Curse*3|Fear*3|Haste*3|Aura Of Vitality*3,Greatsword|Mace,11-Aug,pensive_goldwasser
7787502,d63ffda,21c94635687360936cdfe276d1df3d37,3185ce53,Hill Dwarf,Guild Artisan,2/21/2019 18:51,Cleric 10,Cleric,Forge Domain,10,,99,16,14,10,17,8,19,10,,History|Insight|Medicine|Persuasion,Warhammer|Handaxe,Identify*1|Searing Smite*1|Heat Metal*2|Magic Weapon*2|Elemental Weapon*3|Protection from Energy*3|Fabricate*4|Wall of Fire*4|Animate Objects*5|Creation*5,Wis,,NA,NA,,NA,NA,Dwarf,Identify*1|Searing Smite*1|Heat Metal*2|Magic Weapon*2|Elemental Weapon*3|Protection from Energy*3|Fabricate*4|Wall of Fire*4|Animate Objects*5|Creation*5,Warhammer|Handaxe,11-Aug,distracted_swanson
2338a3d,cb5a583,24e6c51b80fe62602ee1779bce855c3d,7a5bbd56,Shadow Elf,Urban Bounty Hunter,2/14/2019 18:58,Rogue 10,Rogue,Arcane Trickster,10,Elemental Adept|Elven Accuracy,73,14,15,16,14,12,13,10,,Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Persuasion,Rapier|Shortbow|Dagger,,Int,expertise/Stealth*Investigation*Perception*Acrobatics,Dominican Republic,DO,,NA,NA,Elf,,Rapier|Shortbow|Dagger,11-Aug,cocky_germain
e44b85d,2bb2d18,220da6344758987b9866aab03258c2a9,53f5c278,Half-Elf,City Watch,2/10/2019 20:44,Warlock 10,Warlock,The Celestial,10,,73,12,8,10,14,12,16,20,Neutral,Athletics|Acrobatics|Arcana|Nature|Religion|Insight,Dart|Dagger,Light*0|Sacred Flame*0|Eldritch Blast*0|Gust*0|Lughting Lure*0|Fire Bolt*0|Armor Of Agasthys*1|Cure Wounds*1|Detect Magic*1|Hex*1|Protect From Evil And Good*1|Detect Thoughts*2|Flaming Sphere*2|Lesser Restorarion*2|Mind Spike*2| Bestow Curse*3|Cointerspell*3|Daylight*3|Dispell Magic*3|Hunger Of Radar*3|Revivify*3|Thunder Step*3|Banishment*4|Dimension Door*4|Guardian Of Faith*4|Hold Monter*5,Cha,eldritch invocations/Eldritch Sight*Agonizing Blast*Maddening Hex*Sign of Ill Omen*Bewitching Whispers|pact boon/Pact of the Tome,NA,NA,NN,NA,NA,Half-Elf,Light*0|Sacred Flame*0|Eldritch Blast*0|Gust*0|Lightning Lure*0|Fire Bolt*0|Armor of Agathys*1|Cure Wounds*1|Detect Magic*1|Hex*1|Protection from Evil and Good*1|Detect Thoughts*2|Flaming Sphere*2|Lesser Restoration*2|Mind Spike*2|Bestow Curse*3|Counterspell*3|Daylight*3|Dispel Magic*3|Hunger of Hadar*3|Revivify*3|Thunder Step*3|Banishment*4|Dimension Door*4|Guardian of Faith*4|Hold Monster*5,Dart|Dagger,11-Aug,keen_easley
,82268d2,d042e6cd82e1cd981a54a5187dc5a638,e555065c,Rock Gnome,Tinkerer,1/30/2019 23:26,Crafting Commoner 10,Crafting Commoner,,10,,80,12,10,14,11,14,8,10,Chaotic Game,Arcana|Investigation,Light hammer,,Int,,Canada,CA,,NA,NA,Gnome,,Light hammer,11-Aug,laughing_colden
172bee3,2c3211b,2a60a36fd7402bef2805a2ad3828cbd5,71421c58,Wood Elf,Soldier,1/30/2019 19:48,Ranger 10,Ranger,Beast Master,10,,120,16,12,19,14,10,16,8,Chaotic Good,Athletics|Stealth|Insight|Perception|Survival|Intimidation,Shortsword|Longbow,Cure Wounds*1|Cure Wounds*1|Hunter's Mark*1|Hunter's Mark*1|Silence*2|Silence*2|Find Traps*2|Lightning Arrow*3|Conjure Barrage*3,Wis,fighting style/Archery,NA,NA,CG,NA,NA,Elf,Cure Wounds*1|Cure Wounds*1|Hunter's Mark*1|Hunter's Mark*1|Silence*2|Silence*2|Find Traps*2|Lightning Arrow*3|Conjure Barrage*3,Shortsword|Longbow,11-Aug,heuristic_wing
5041b04,cc35bf3,dd6d71b8e979d53aafd323aac9a4360c,e226ad32,Forest Gnome,Mercenary Veteran,1/19/2019 20:40,Wizard 10,Wizard,School of Evocation,10,,82,14,12,18,18,20,18,13,,Athletics|Arcana|Insight|Persuasion,Quarterstaff,,Int,,Brazil,BR,,NA,NA,Gnome,,Quarterstaff,11-Aug,sad_cocks
111393a,194d294,2c754abfa0c895c898dfe4699aec52bd,6187f9e0,Tabaxi,Criminal,1/9/2019 19:32,Bard 10,Bard,College of Whispers,10,,78,14,8,17,13,8,12,20,,Acrobatics|Stealth|Perception|Deception|Performance|Persuasion,Shortbow|Dagger,,Cha,expertise/Stealth*Deception*Persuasion*Acrobatics,United States,US,,NA,NA,Tabaxi,,Shortbow|Dagger,11-Aug,determined_williamson
6fe9049,4c9a4d0,ba1b2b868adb98fa3b8bffb78aff4880,5a437594,Geth - Yan,Dragon Scholer,1/4/2019 23:19,Wizard 10,Wizard,School of Evocation,10,Tough,110,18,14,14,19,20,12,8,,Athletics|Arcana|History|Investigation|Religion|Perception,Quarterstaff|Greatsword +1|Sword Burst(Dex)|Toll The Dead(Wis)|Create Born Fire(Dex),"Mage Hand*0|Toll The Dead*0|Sword Burst*0|Create Bon fire*0|Prestidigitation *0|Shield*1|Absorb Element*1|Mage Armor*1|Protection From Good And Evil*1|Jump*1|Fog Cloud*1|Thunder Wave*1|Identify*1|Spider Climb*2|Mirror Image*2|Misty Step*2|Shadow Blade*2|Invisibility*2|Shatter*2|Fireball*3|Counterspell*3|Dispel Magic*3|Lightning Bolt*3|Ottoluk""s Resilient Sphere*4|Fire Shield*4|Greater Invisible*4|Ice Storm*4|Bigby's Hand*5|Animate Object*5",Int,,United States,US,,NA,NA,Gith,Mage Hand*0|Toll the Dead*0|Sword Burst*0|Create Bonfire*0|Prestidigitation*0|Shield*1|Absorb Elements*1|Mage Armor*1|Protection from Evil and Good*1|Jump*1|Fog Cloud*1|Thunderwave*1|Identify*1|Spider Climb*2|Mirror Image*2|Misty Step*2|Shadow Blade*2|Invisibility*2|Shatter*2|Fireball*3|Counterspell*3|Dispel Magic*3|Lightning Bolt*3|Otiluke's Resilient Sphere*4|Fire Shield*4|Greater Invisibility*4|Ice Storm*4|Bigby's Hand*5|Animate Objects*5,Quarterstaff|Greatsword|||,11-Aug,sad_tharp
1e1ff0b,82268d2,c3ad5c71da88d86b090a0ecfdafb15a1,6091f261,Changeling,Soldier,12/25/2018 7:12,Fighter 10,Fighter,Samurai,10,Medium Armor Master|Tough,150,20,18,18,16,9,12,18,,Athletics|Insight|Perception|Deception|Intimidation|Performance,Longsword|Handaxe,,Int,fighting style/Protection,NA,NA,,NA,NA,Changeling,,Longsword|Handaxe,11-Aug,wonderful_bhaskara
1e1ff0b,82268d2,7938fb06796c556b3a075507f64f0de5,7142bb88,Changeling,Port City Noble,12/25/2018 7:12,Barbarian 10,Barbarian,Path of the Berserker,10,Tavern Brawler,160,18,18,18,18,9,12,17,,History|Nature|Perception|Deception|Persuasion,Maul|Handaxe|Javelin,,Int,,NA,NA,,NA,NA,Changeling,,Maul|Handaxe|Javelin,11-Aug,nifty_robinson
062560a,82268d2,63531a898a298a0f00ca8c0bab002951,c540e024,Minotaur,Folk Hero,12/17/2018 8:10,Fighter 10,Fighter,Samurai,10,Shield Master|Sentinel|Dual Wielder,140,20,14,18,18,14,16,14,,History|Animal Handling|Insight|Perception|Survival|Persuasion,Whip|Handaxe,,Int,fighting style/Protection|elegant courtier/History,United States,US,,NA,NA,Minotaur,,Whip|Handaxe,11-Aug,wonderful_gates
8c1886a,c9f1b61,14e5e0b5e4ec398a2e475e255aa6d603,8de1ad7b,Geth - Yan,Soldier,12/2/2018 1:58,Fighter 10,Fighter,Battle Master,10,Alert|Savage Attacker|Tough,114,16,18,12,16,12,16,9,,Athletics|Acrobatics|Perception|Intimidation,Sunsword Staff|Handaxe,,Int,combat superiority maneuvers/Trip Attack*Goading Attack*Distracting Strike*Disarming Attack*Parry*Menacing Attack|fighting style/Great Weapon Fighting,NA,NA,,NA,NA,Gith,,|Handaxe,11-Aug,quizzical_sammet
2591efb,2af0616,c2cf0fdc6bd7e0389b0c807490468bf6,377006bd,Human,Noble,11/28/2018 23:45,Cleric 10,Cleric,Life Domain,10,War Caster|Resilient,104,18,14,11,18,12,18,9,,History|Insight|Medicine|Perception|Persuasion,"Mace|Crossbow, light",Guidance*0|Sacred Flame*0|Light*0|Mending*0|Bless*1|Cure Wounds*1|Healing Word*1|Shield Of Faith *1|Guiding Bolt *1|Inflict Wounds *1|Bane*1|Lesser Restoration*2|Spiritual Weapon*2|Prayer Of Healing *2|Hold Person*2|Beacon of Hope*3|Revivify*3|Mass Healing Word *3|Dispel Magic *3|Spirit Guardians *3|Remove Curse *3|Death Ward*4|Guardian of Faith*4|Banishment *4|Mass Cure Wounds*5|Raise Dead*5|Contagion*5|Greater Restoration *5,Wis,,NA,NA,,NA,NA,Human,Guidance*0|Sacred Flame*0|Light*0|Mending*0|Bless*1|Cure Wounds*1|Healing Word*1|Shield of Faith*1|Guiding Bolt*1|Inflict Wounds*1|Bane*1|Lesser Restoration*2|Spiritual Weapon*2|Prayer of Healing*2|Hold Person*2|Beacon of Hope*3|Revivify*3|Mass Healing Word*3|Dispel Magic*3|Spirit Guardians*3|Remove Curse*3|Death Ward*4|Guardian of Faith*4|Banishment*4|Mass Cure Wounds*5|Raise Dead*5|Contagion*5|Greater Restoration*5,"Mace|Crossbow, Light",11-Aug,clever_bhabha
2591efb,76a4ba0,63c3a56e34cc1a4395e9df4db2bbec63,f9c6576d,Kenku,Far Traveler,11/25/2018 0:41,Ranger 10,Ranger,Hunter,10,,101,16,9,20,16,12,14,10,Chaotic Neutral,Acrobatics|Stealth|Investigation|Nature|Insight|Perception|Survival,Shortsword|Longbow,Hunter's Mark*1|Ensnaring Strike*1|Hail Of Thorns*1|Pass Without A Trace*2|Healing Spirit*2|Conjure Barrage*3,Wis,fighting style/Archery,NA,NA,CN,NA,NA,Kenku,Hunter's Mark*1|Ensnaring Strike*1|Hail of Thorns*1|Pass Without Trace*2|Healing Spirit*2|Conjure Barrage*3,Shortsword|Longbow,11-Aug,relaxed_turing
2591efb,76a4ba0,7b60776284d374df841228eaa35a9b47,5eeb9d33,Half-Orc,Far Traveler,11/25/2018 0:10,Barbarian 10,Barbarian,Path of the Totem Warrior,10,Sentinel,107,15,20,14,16,11,13,10,True Neutral,Athletics|Acrobatics|Stealth|Insight|Perception|Survival|Intimidation,Greataxe|Handaxe|Javelin,,Int,,NA,NA,NN,NA,NA,Half-Orc,,Greataxe|Handaxe|Javelin,11-Aug,eager_stonebraker
2591efb,76a4ba0,68d09d05c72fa01c3e44c9ed950948eb,7e3dfeb4,Human,Sailor,11/24/2018 21:39,Fighter 10,Fighter,Champion,10,Sentinel|Polearm Master,101,16,20,12,16,11,13,10,Neutral Good,Athletics|Stealth|Perception|Survival|Intimidation,Halberd|Handaxe|Handaxe|Longbow,,Int,fighting style/Defense*Great Weapon Fighting,NA,NA,NG,NA,NA,Human,,Halberd|Handaxe|Handaxe|Longbow,11-Aug,angry_hermann
2591efb,76a4ba0,983d158de8586187e488d6d4e43bc940,7cb8e9f7,Hill Dwarf,Mercenary Veteran,11/24/2018 19:27,Cleric 10,Cleric,Grave Domain,10,,80,17,13,12,15,11,18,9,,Athletics|Insight|Medicine|Persuasion,"Mace|Crossbow, light",Spare the Dying*0|Guidance *0|Toll The Dead *0|Bane*1|False Life*1|Healing Word*1|Cure Wounds*1|Shield Of Faith*1|Bless*1|Inflict Wounds *1|Gentle Repose*2|Ray of Enfeeblement*2|Spiritual Weapon *2|Prayer Of Healing*2|Revivify*3|Vampiric Touch*3|Dispel Magic *3|Mass Healing Word*3|Spirit Guardians *3|Blight*4|Death Ward*4|Banishment*4|Sending*4|Freedom Of Movement *4|Antilife Shell*5|Raise Dead*5|Contagion*5|Mass Cure Wounds *5|Greater Restoration *5,Wis,,NA,NA,,NA,NA,Dwarf,Spare the Dying*0|Guidance*0|Toll the Dead*0|Bane*1|False Life*1|Healing Word*1|Cure Wounds*1|Shield of Faith*1|Bless*1|Inflict Wounds*1|Gentle Repose*2|Ray of Enfeeblement*2|Spiritual Weapon*2|Prayer of Healing*2|Revivify*3|Vampiric Touch*3|Dispel Magic*3|Mass Healing Word*3|Spirit Guardians*3|Blight*4|Death Ward*4|Banishment*4|*|Freedom of Movement*4|Antilife Shell*5|Raise Dead*5|Contagion*5|Mass Cure Wounds*5|Greater Restoration*5,"Mace|Crossbow, Light",11-Aug,frosty_moore
2591efb,76a4ba0,c118345b902113592564292799c45ba5,c42bef93,Mountain Dwarf,Mercenary Veteran,11/24/2018 4:34,Fighter 10,Fighter,Battle Master,10,Sentinel,89,19,20,12,16,9,12,9,,Athletics|Perception|Survival|Persuasion,"Battleaxe|Crossbow, light",,Int,combat superiority maneuvers/Pushing Attack*Precision Attack*Menacing Attack*Trip Attack*Maneuvering Attack*Goading Attack*Distracting Strike|fighting style/Defense,NA,NA,,NA,NA,Dwarf,,"Battleaxe|Crossbow, Light",11-Aug,unruffled_albattani
2591efb,76a4ba0,e1b80db355732cec72f3064bc017015e,0bd434d7,High Elf,Cloistered Scholar,11/24/2018 3:07,Wizard 10,Wizard,School of Divination,10,,59,13,6,16,13,18,11,10,Chaotic Good,Arcana|History|Investigation|Insight|Perception,Quarterstaff,Ray Of Frost*0|Dancing Lights*0|Minor Illusion*0|Mage Armor*1|Sleep*1|Identify (R)*1|Detect Magic (R)*1|Magic Missile*1|Shield*1|Featherfall *1|Shatter*2|Maximilian's Earthen Grasp *2|Invisibility *2|Hold Person*2|Fireball*3|Slow*3|Counterspell *3|Flight*3|Dispel Magic*3|Polymorph*4|Dimension Door*4|Banishment *4|Hold Monster*5|Rarys Telepathic Bond (R)*5|Seeming*5|Scrying*5,Int,,NA,NA,CG,NA,NA,Elf,Ray of Frost*0|Dancing Lights*0|Minor Illusion*0|Mage Armor*1|Sleep*1|Identify*1|Detect Magic*1|Magic Missile*1|Shield*1|Feather Fall*1|Shatter*2|Maximilian's Earthen Grasp*2|Invisibility*2|Hold Person*2|Fireball*3|Slow*3|Counterspell*3|*|Dispel Magic*3|Polymorph*4|Dimension Door*4|Banishment*4|Hold Monster*5|Rary's Telepathic Bond*5|Seeming*5|Scrying*5,Quarterstaff,11-Aug,dreamy_keller
2591efb,76a4ba0,7dc5ff1e0a7a3802ef8a3fdde749d5d6,f5fd9359,Dragonborn,Charlatan,11/24/2018 1:29,Sorcerer 10,Sorcerer,Draconic Bloodline,10,Actor,64,14,9,12,12,10,11,20,,Sleight of Hand|Arcana|Deception|Persuasion,Quarterstaff|Dagger,Fire Bolt*0|Minor Illusion*0|Mage Hand*0|Prestidigitation *0|Shocking Grasp*0|Shield*1|Suggestion *2|Maximilian's Earthen Grasp *2|Shatter*2|Fireball*3|Haste*3|Counterspell*3|Polymorph*4|Greater Invisibility*4|Animate Objects*5|Dominate Person*5,Cha,metamagic/Twinned Spell*Subtle Spell*Quickened Spell,NA,NA,,NA,NA,Dragonborn,Fire Bolt*0|Minor Illusion*0|Mage Hand*0|Prestidigitation*0|Shocking Grasp*0|Shield*1|Suggestion*2|Maximilian's Earthen Grasp*2|Shatter*2|Fireball*3|Haste*3|Counterspell*3|Polymorph*4|Greater Invisibility*4|Animate Objects*5|Dominate Person*5,Quarterstaff|Dagger,11-Aug,adoring_kare
a69575d,a935d8d,15987e163f507deb882004dcdb2c90af,0671000f,Tabaxi,Outlander,11/22/2018 23:15,Monk 10,Monk,Way of the Kensei,10,Observant,63,17,12,19,13,9,17,11,,Athletics|Acrobatics|Stealth|Insight|Perception|Survival,Shortsword|Dart|Unarmed strike,,Int,,NA,NA,,NA,NA,Tabaxi,,Shortsword|Dart|Unarmed Strike,11-Aug,practical_jennings
b270acf,e7ba036,8a5aee5af9ecdb276c684956e06a0c74,8d29d182,Hill Dwarf,Hermit,11/15/2018 2:23,Druid 10,Druid,Circle of the Moon,10,,93,16,8,14,16,12,20,8,,Arcana|Religion|Medicine|Perception,Scimitar|Produce Flame,Guidance*0|Produce Flame*0|Cure Wounds*1|Detect Magic*1|Thunderwave*1,Wis,,Turkey,TR,,NA,NA,Dwarf,Guidance*0|Produce Flame*0|Cure Wounds*1|Detect Magic*1|Thunderwave*1,Scimitar|,11-Aug,clever_sutherland
11fe05b,58f68dc,dea17c053e205a42521be910b8a415a7,7d63f7b4,Hill Dwarf,Clan Crafter,11/14/2018 16:29,Paladin 10,Paladin,Oath of the Crown,10,,107,19,20,9,16,11,14,14,,History|Religion|Insight|Persuasion,Maul|Javelin,Command*1|Compelled Duel*1|Warding Bond*2|Zone of Truth*2|Aura of Vitality*3|Spirit Guardians*3,Cha,fighting style/Defense,United States,US,,NA,NA,Dwarf,Command*1|Compelled Duel*1|Warding Bond*2|Zone of Truth*2|Aura Of Vitality*3|Spirit Guardians*3,Maul|Javelin,11-Aug,inspiring_dirac
884b5e5,ed4c88c,fd16c0982f474bc460dd7d361a72400f,5543dc1e,Tabaxi,Acolyte,10/31/2018 22:44,Monk 10,Monk,Way of the Open Hand,10,Mobile,73,16,12,18,14,10,14,9,,Athletics|Acrobatics|Stealth|Religion|Insight|Perception,Shortsword|Dart|Unarmed strike,,Int,,NA,NA,,NA,NA,Tabaxi,,Shortsword|Dart|Unarmed Strike,11-Aug,kind_hodgkin
e9fd249,f95670c,586cebacf25428dbc9e24607cc4f38db,e151886f,Serpentblood,Noble,10/31/2018 2:44,Paladin 10,Paladin,Oath of the Crown,10,,93,18,17,12,16,8,11,18,lawful evil,Athletics|History|Intimidation|Persuasion,Warhammer|Javelin,Command*1|Compelled Duel*1|Warding Bond*2|Zone of Truth*2|Aura of Vitality*3|Spirit Guardians*3,Cha,fighting style/Great Weapon Fighting,NA,NA,LE,NA,NA,Yaun-Ti,Command*1|Compelled Duel*1|Warding Bond*2|Zone of Truth*2|Aura Of Vitality*3|Spirit Guardians*3,Warhammer|Javelin,11-Aug,heuristic_minsky
ab93ae1,bfd71a7,4ec4527ebeb49d74f91d50ba4f29f65d,827c6db8,Mountain Dwarf,Entertainer,10/26/2018 1:41,Barbarian 10,Barbarian,Path of the Totem Warrior,10,Tavern Brawler|Mobile,98,15,19,15,16,10,13,12,,Athletics|Acrobatics|Stealth|Animal Handling|Perception|Performance,Glaive|Handaxe|Javelin,,Int,,NA,NA,,NA,NA,Dwarf,,Glaive|Handaxe|Javelin,11-Aug,pedantic_goodall
04efb45,,66032e9402f7fcb3f0fc02cf65e2c14e,0ac4d0ba,Kobold,Barbarian Tribe Member,10/23/2018 21:50,Druid 10,Druid,Circle of the Moon,10,Moderately Armored,63,19,8,18,13,8,16,12,,Athletics|Animal Handling|Perception|Survival,,,Wis,,NA,NA,,NA,NA,Kobold,,,11-Aug,frosty_hermann
5b12ced,,85bcf84d85fa366e203fa872dc398cf4,c5bf65bd,Tiefling,Urban Bounty Hunter,10/21/2018 8:39,Bard 10,Bard,College of Lore,10,Magic Initiate|War Caster,66,13,12,14,14,13,11,19,,Acrobatics|Stealth|Investigation|Nature|Perception|Survival|Performance|Persuasion,Rapier|Dagger,,Cha,tiefling variants menu/Devil's Tongue|expertise/Survival*Perception*Performance*Acrobatics,NA,NA,,NA,NA,Tiefling,,Rapier|Dagger,11-Aug,adoring_chandrasekhar
d74fc82,e038860,79656ed03d58b53e29750b8ed8b3806a,f1574480,Mountain Dwarf,Soldier,10/19/2018 2:25,Fighter 10,Fighter,Champion,10,Dual Wielder,104,20,20,13,18,12,12,13,,Athletics|Acrobatics|Perception|Intimidation,"Battleaxe|Crossbow, light|Battleaxe",,Int,fighting style/Two-Weapon Fighting*Defense,NA,NA,,NA,NA,Dwarf,,"Battleaxe|Crossbow, Light|Battleaxe",11-Aug,dreamy_rosalind
1cbc858,c29da0c,701e1fabab9223cfbe9882a636214a84,e302d857,Goblin,Haunted One,10/15/2018 15:35,Druid 10,Druid,Circle of the Shepherd,10,,71,13,14,14,14,11,16,10,,Nature|Religion|Perception|Survival,Spear|Scimitar,,Wis,,NA,NA,,NA,NA,Goblin,,Spear|Scimitar,11-Aug,determined_blackwell
1cbc858,c29da0c,6806cb456552b62449a4de7dc155176f,b82e4e4f,Lightfoot Halfling,Noble,10/15/2018 15:35,Rogue 10,Rogue,Mastermind,10,Observant,64,14,9,16,11,14,14,16,,Sleight of Hand|Stealth|History|Deception|Performance|Persuasion,Rapier|Shortbow|Dagger,,Int,expertise/Sleight of Hand*Performance*Stealth*Deception,NA,NA,,NA,NA,Halfling,,Rapier|Shortbow|Dagger,11-Aug,cool_burnell
1cbc858,c29da0c,cec68d4be936768be0156f3f3a0c4747,fa366e5e,Half-Elf,Sage,10/15/2018 15:34,Sorcerer 10,Sorcerer,Divine Soul,10,,65,11,12,12,15,12,13,16,Neutral,Arcana|History|Insight|Perception|Intimidation,"Dagger|Shortsword|Crossbow, Light",Protection from Evil and Good*1,Cha,metamagic/Twinned Spell*Subtle Spell*Careful Spell,NA,NA,NN,NA,NA,Half-Elf,Protection from Evil and Good*1,"Dagger|Shortsword|Crossbow, Light",11-Aug,sharp_grothendieck
1cbc858,c29da0c,8a599e30f4eb43f9df4c88b803f99674,373612ca,Human,Outlander,10/15/2018 15:33,Ranger 10,Ranger,Hunter,10,Keen Mind,71,16,15,16,12,14,14,10,,Athletics|Stealth|Nature|Perception|Survival,Shortsword|Longbow,,Wis,fighting style/Two-Weapon Fighting,NA,NA,,NA,NA,Human,,Shortsword|Longbow,11-Aug,naughty_curie
1cbc858,c29da0c,009bb1d3a365e03929662f74694d7d71,92097df4,High Elf,Soldier,10/15/2018 15:32,Cleric 10,Cleric,Life Domain,10,Healer,74,18,13,16,12,11,15,10,,Athletics|Religion|Medicine|Perception|Intimidation,Mace|Spear,Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4|Mass Cure Wounds*5|Raise Dead*5,Wis,,NA,NA,,NA,NA,Elf,Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4|Mass Cure Wounds*5|Raise Dead*5,Mace|Spear,11-Aug,stupefied_williams
1cbc858,c29da0c,7178889ff1271eae7cc2089cd32a921f,ca5268e5,Human,Far Traveler,10/15/2018 15:32,Barbarian 10,Barbarian,Path of the Storm Herald,10,Weapon Master,93,14,16,14,15,12,12,10,,Athletics|Insight|Perception|Survival|Intimidation,Longsword|Handaxe|Javelin,,Int,,NA,NA,,NA,NA,Human,,Longsword|Handaxe|Javelin,11-Aug,bold_antonelli
,,65ca144990e67c5b387fc250958728a3,1e4514a6,High Elf,Guild Artisan,10/10/2018 21:53,Wizard 10,Wizard,School of Evocation,10,Spell Sniper,66,15,10,20,15,20,10,14,,History|Insight|Medicine|Perception|Persuasion,Dagger,,Int,,Canada,CA,,NA,NA,Elf,,Dagger,11-Aug,silly_elion
5d6ba53,c29da0c,afdb0584f1ce8d958d12d86c710767d0,f306404d,Mountain Dwarf,Mercenary Veteran,10/6/2018 0:02,Fighter 10,Fighter,Cavalier,10,Mounted Combatant,98,18,17,13,16,12,11,11,,Athletics|Animal Handling|Insight|Intimidation|Persuasion,Warhammer|Handaxe,,Int,fighting style/Great Weapon Fighting,NA,NA,,NA,NA,Dwarf,,Warhammer|Handaxe,11-Aug,cool_yalow
aa22861,32146b3,e2a8c125eb5b133fd327088308f32f52,8772ff3f,Triton,Soldier,9/29/2018 23:59,Fighter 10,Fighter,Champion,10,Great Weapon Master|Tough|Martial Adept,104,19,16,12,14,10,11,13,,Athletics|Insight|Survival|Intimidation,Trident|Shortsword,,Int,combat superiority maneuvers/Precision Attack*Disarming Attack|fighting style/Defense*Great Weapon Fighting,United States,US,,NA,NA,Triton,,Trident|Shortsword,11-Aug,cranky_archimedes
aa22861,32146b3,704acb41ba6fe22b6cb70af2433bfd28,5bcfef0b,Firbolg,Hermit,9/29/2018 23:44,Druid 10,Druid,Circle of the Shepherd,10,War Caster|Observant,73,14,12,12,14,12,18,8,,Religion|Animal Handling|Medicine|Perception,,,Wis,,United States,US,,NA,NA,Firbolg,,,11-Aug,inspiring_snyder
,de43c6e,012a68abc8bffffc47d76c1d9b74dfb9,0fa562c8,Dragonborn,Acolyte,9/11/2018 20:21,Cleric 10,Cleric,Death Domain,10,,79,17,14,12,14,12,16,12,,History|Religion|Insight|Persuasion,Mace|Quarterstaff,False Life*1|Ray of Sickness*1|Blindness/Deafness*2|Ray of Enfeeblement*2|Animate Dead*3|Vampiric Touch*3|Blight*4|Death Ward*4|Antilife Shell*5|Cloudkill*5,Wis,,Canada,CA,,NA,NA,Dragonborn,False Life*1|Ray of Sickness*1|Blindness/Deafness*2|Ray of Enfeeblement*2|Animate Dead*3|Vampiric Touch*3|Blight*4|Death Ward*4|Antilife Shell*5|Cloudkill*5,Mace|Quarterstaff,11-Aug,admiring_gauss
